traj_id,traj_num,year,month,day,hour,step,timestep,hour_back,lat,lon,alt,pressure,theta,air_temp,rainfall,mixdepth,relhum,spchumid
1.0,1.0,12.0,8.0,9.0,17.0,0.0,1.0,0.0,42.82,-75.54,500.0,918.5,303.2,295.9,0.1,1361.5,57.2,10.7
1.0,1.0,12.0,8.0,9.0,16.0,0.0,2.0,-1.0,42.722,-75.646,450.3,923.2,302.7,295.9,0.1,1072.9,57.7,10.7
1.0,1.0,12.0,8.0,9.0,15.0,0.0,3.0,-2.0,42.614,-75.755,429.0,925.1,302.2,295.5,0.1,800.1,59.1,10.7
1.0,1.0,12.0,8.0,9.0,14.0,0.0,2.0,-3.0,42.492,-75.867,426.0,925.5,302.2,295.6,0.2,575.4,58.2,10.6
1.0,1.0,12.0,8.0,9.0,13.0,0.0,1.0,-4.0,42.357,-75.987,428.4,925.5,302.3,295.7,0.2,347.7,57.0,10.4
1.0,1.0,12.0,8.0,9.0,12.0,0.0,0.0,-5.0,42.209,-76.125,431.0,924.2,302.4,295.7,0.1,94.0,55.5,10.1
1.0,1.0,12.0,8.0,9.0,11.0,0.0,1.0,-6.0,42.063,-76.268,436.3,921.4,302.6,295.6,0.0,70.2,55.0,10.0
1.0,1.0,12.0,8.0,9.0,10.0,0.0,2.0,-7.0,41.93,-76.388,446.5,919.3,302.7,295.5,0.0,46.5,54.9,10.0
1.0,1.0,12.0,8.0,9.0,9.0,0.0,3.0,-8.0,41.804,-76.482,455.5,919.0,302.6,295.4,0.0,22.7,55.5,10.1
1.0,1.0,12.0,8.0,9.0,8.0,0.0,2.0,-9.0,41.692,-76.573,459.0,920.2,302.8,295.7,0.0,23.2,55.5,10.2
1.0,1.0,12.0,8.0,9.0,7.0,0.0,1.0,-10.0,41.607,-76.679,459.2,921.8,303.0,296.0,0.0,24.0,54.8,10.2
1.0,1.0,12.0,8.0,9.0,6.0,0.0,0.0,-11.0,41.545,-76.796,461.8,923.2,303.2,296.3,0.0,25.5,53.5,10.2
1.0,1.0,12.0,8.0,9.0,5.0,0.0,1.0,-12.0,41.486,-76.917,472.0,923.4,303.2,296.3,0.1,21.9,54.3,10.3
1.0,1.0,12.0,8.0,9.0,4.0,0.0,2.0,-13.0,41.413,-77.036,493.6,921.9,303.2,296.2,0.1,14.9,55.1,10.4
1.0,1.0,12.0,8.0,9.0,3.0,0.0,3.0,-14.0,41.338,-77.157,521.4,917.7,303.4,296.0,0.1,9.9,55.5,10.4
1.0,1.0,12.0,8.0,9.0,2.0,0.0,2.0,-15.0,41.265,-77.281,525.8,916.1,303.8,296.3,0.1,60.5,53.8,10.3
1.0,1.0,12.0,8.0,9.0,1.0,0.0,1.0,-16.0,41.187,-77.408,482.0,919.7,304.2,297.0,0.1,112.2,51.2,10.2
1.0,1.0,12.0,8.0,9.0,0.0,0.0,0.0,-17.0,41.09,-77.546,392.1,928.1,304.8,298.3,0.0,161.4,46.6,10.0
1.0,1.0,12.0,8.0,8.0,23.0,0.0,1.0,-18.0,40.981,-77.684,297.8,936.6,305.3,299.6,0.0,788.2,41.8,9.6
1.0,1.0,12.0,8.0,8.0,22.0,0.0,2.0,-19.0,40.883,-77.811,234.0,941.7,305.9,300.6,0.0,1502.0,38.1,9.2
1.0,1.0,12.0,8.0,8.0,21.0,0.0,3.0,-20.0,40.799,-77.924,198.5,943.9,306.6,301.6,0.0,2291.8,34.2,8.7
1.0,1.0,12.0,8.0,8.0,20.0,0.0,2.0,-21.0,40.723,-78.031,179.8,946.0,306.2,301.4,0.0,2190.5,34.0,8.5
1.0,1.0,12.0,8.0,8.0,19.0,0.0,1.0,-22.0,40.652,-78.13,167.7,947.7,305.6,300.9,0.0,2004.5,34.7,8.5
1.0,1.0,12.0,8.0,8.0,18.0,0.0,0.0,-23.0,40.584,-78.221,158.5,948.7,305.1,300.5,0.0,1825.9,35.1,8.4
