traj_id,traj_num,year,month,day,hour,step,timestep,hour_back,lat,lon,alt,pressure,theta,air_temp,rainfall,mixdepth,relhum,spchumid
1.0,1.0,12.0,8.0,7.0,17.0,0.0,1.0,0.0,42.82,-75.54,1000.0,868.2,300.3,288.4,0.0,1116.0,41.0,5.0
1.0,1.0,12.0,8.0,7.0,16.0,0.0,2.0,-1.0,42.738,-75.674,1019.7,865.9,300.1,287.9,0.0,889.2,38.9,4.7
1.0,1.0,12.0,8.0,7.0,15.0,0.0,3.0,-2.0,42.65,-75.815,1057.0,862.1,299.9,287.5,0.0,646.1,35.0,4.1
1.0,1.0,12.0,8.0,7.0,14.0,0.0,2.0,-3.0,42.574,-75.956,1108.2,857.8,300.1,287.2,0.0,450.6,33.9,3.9
1.0,1.0,12.0,8.0,7.0,13.0,0.0,1.0,-4.0,42.529,-76.091,1157.1,853.7,300.2,286.9,0.0,270.4,33.2,3.8
1.0,1.0,12.0,8.0,7.0,12.0,0.0,0.0,-5.0,42.515,-76.222,1192.8,851.1,300.3,286.7,0.0,81.6,33.0,3.7
1.0,1.0,12.0,8.0,7.0,11.0,0.0,1.0,-6.0,42.524,-76.356,1211.3,849.6,300.6,286.9,0.0,72.5,31.4,3.6
1.0,1.0,12.0,8.0,7.0,10.0,0.0,2.0,-7.0,42.544,-76.504,1213.3,850.0,300.7,287.1,0.0,62.3,30.5,3.5
1.0,1.0,12.0,8.0,7.0,9.0,0.0,3.0,-8.0,42.572,-76.665,1200.5,852.3,300.8,287.4,0.0,51.1,30.1,3.5
1.0,1.0,12.0,8.0,7.0,8.0,0.0,2.0,-9.0,42.612,-76.837,1181.5,856.7,300.6,287.6,0.0,57.2,32.2,3.8
1.0,1.0,12.0,8.0,7.0,7.0,0.0,1.0,-10.0,42.669,-77.018,1167.8,861.0,300.4,287.8,0.0,61.4,33.2,4.0
1.0,1.0,12.0,8.0,7.0,6.0,0.0,0.0,-11.0,42.741,-77.21,1162.4,862.0,300.5,288.0,0.0,60.4,30.9,3.8
1.0,1.0,12.0,8.0,7.0,5.0,0.0,1.0,-12.0,42.811,-77.413,1161.2,862.2,300.6,288.1,0.0,56.1,29.2,3.6
