traj_id,traj_num,year,month,day,hour,step,timestep,hour_back,lat,lon,alt,pressure,theta,air_temp,rainfall,mixdepth,relhum,spchumid
1.0,1.0,12.0,8.0,19.0,23.0,0.0,1.0,0.0,42.82,-75.54,1500.0,814.3,298.9,281.8,0.0,535.6,56.2,4.8
1.0,1.0,12.0,8.0,19.0,22.0,0.0,2.0,-1.0,42.759,-75.648,1486.8,815.6,298.9,281.9,0.0,901.2,53.8,4.6
1.0,1.0,12.0,8.0,19.0,21.0,0.0,3.0,-2.0,42.7,-75.749,1479.2,816.5,298.8,282.0,0.0,1280.8,49.9,4.3
1.0,1.0,12.0,8.0,19.0,20.0,0.0,2.0,-3.0,42.644,-75.843,1478.8,817.1,298.7,281.9,0.0,1236.6,46.2,4.0
1.0,1.0,12.0,8.0,19.0,19.0,0.0,1.0,-4.0,42.596,-75.924,1478.7,817.8,298.5,281.9,0.0,1190.3,42.6,3.6
1.0,1.0,12.0,8.0,19.0,18.0,0.0,0.0,-5.0,42.559,-75.992,1475.0,818.9,298.4,281.8,0.0,1140.3,39.0,3.3
1.0,1.0,12.0,8.0,19.0,17.0,0.0,1.0,-6.0,42.527,-76.046,1483.0,818.1,298.3,281.6,0.0,917.1,36.3,3.0
1.0,1.0,12.0,8.0,19.0,16.0,0.0,2.0,-7.0,42.496,-76.085,1516.8,814.7,298.3,281.3,0.0,693.7,33.4,2.8
1.0,1.0,12.0,8.0,19.0,15.0,0.0,3.0,-8.0,42.466,-76.107,1572.2,809.0,298.5,280.9,0.0,467.2,30.6,2.5
1.0,1.0,12.0,8.0,19.0,14.0,0.0,2.0,-9.0,42.456,-76.111,1632.1,803.0,298.7,280.5,0.0,338.4,30.7,2.4
1.0,1.0,12.0,8.0,19.0,13.0,0.0,1.0,-10.0,42.492,-76.099,1676.7,799.0,298.8,280.2,0.0,208.8,31.3,2.4
1.0,1.0,12.0,8.0,19.0,12.0,0.0,0.0,-11.0,42.576,-76.074,1698.4,797.5,298.8,280.0,0.0,74.3,32.4,2.5
1.0,1.0,12.0,8.0,19.0,11.0,0.0,1.0,-12.0,42.672,-76.048,1689.2,799.1,298.6,280.0,0.0,49.6,31.5,2.4
1.0,1.0,12.0,8.0,19.0,10.0,0.0,2.0,-13.0,42.74,-76.028,1657.7,802.6,298.4,280.2,0.0,28.8,29.7,2.3
1.0,1.0,12.0,8.0,19.0,9.0,0.0,3.0,-14.0,42.778,-76.005,1611.8,807.2,298.1,280.4,0.0,10.2,27.5,2.1
1.0,1.0,12.0,8.0,19.0,8.0,0.0,2.0,-15.0,42.82,-75.986,1562.8,812.2,298.0,280.8,0.0,21.5,27.1,2.2
1.0,1.0,12.0,8.0,19.0,7.0,0.0,1.0,-16.0,42.896,-75.973,1508.7,818.1,297.8,281.1,0.0,30.4,26.1,2.1
1.0,1.0,12.0,8.0,19.0,6.0,0.0,0.0,-17.0,43.009,-75.957,1442.3,825.6,297.4,281.5,0.0,36.5,24.7,2.0
1.0,1.0,12.0,8.0,19.0,5.0,0.0,1.0,-18.0,43.129,-75.965,1372.3,834.1,296.8,281.8,0.0,48.5,31.9,2.7
1.0,1.0,12.0,8.0,19.0,4.0,0.0,2.0,-19.0,43.234,-76.034,1304.5,842.9,296.3,282.1,0.0,51.5,38.2,3.2
1.0,1.0,12.0,8.0,19.0,3.0,0.0,3.0,-20.0,43.327,-76.156,1241.9,851.6,295.8,282.5,0.0,54.6,44.2,3.8
1.0,1.0,12.0,8.0,19.0,2.0,0.0,2.0,-21.0,43.412,-76.31,1203.0,858.2,295.5,282.9,0.0,95.6,49.2,4.3
1.0,1.0,12.0,8.0,19.0,1.0,0.0,1.0,-22.0,43.489,-76.473,1205.7,860.5,295.4,283.0,0.0,142.1,51.8,4.5
