traj_id,traj_num,year,month,day,hour,step,timestep,hour_back,lat,lon,alt,pressure,theta,air_temp,rainfall,mixdepth,relhum,spchumid
1.0,1.0,12.0,8.0,23.0,11.0,0.0,1.0,0.0,42.82,-75.54,1500.0,821.6,299.8,283.4,0.0,54.2,52.7,4.9
1.0,1.0,12.0,8.0,23.0,10.0,0.0,2.0,-1.0,42.83,-75.843,1503.9,823.3,299.8,283.6,0.0,32.3,54.7,5.2
1.0,1.0,12.0,8.0,23.0,9.0,0.0,3.0,-2.0,42.798,-76.151,1490.9,826.4,299.8,283.9,0.0,18.3,56.8,5.5
1.0,1.0,12.0,8.0,23.0,8.0,0.0,2.0,-3.0,42.748,-76.456,1488.1,829.2,299.7,284.1,0.0,34.1,58.0,5.6
1.0,1.0,12.0,8.0,23.0,7.0,0.0,1.0,-4.0,42.701,-76.75,1515.7,828.4,299.7,284.0,0.0,42.8,58.5,5.7
1.0,1.0,12.0,8.0,23.0,6.0,0.0,0.0,-5.0,42.649,-77.037,1572.0,823.6,299.8,283.6,0.0,45.7,59.0,5.6
1.0,1.0,12.0,8.0,23.0,5.0,0.0,1.0,-6.0,42.596,-77.318,1619.0,814.2,300.2,283.1,0.0,44.2,58.2,5.4
1.0,1.0,12.0,8.0,23.0,4.0,0.0,2.0,-7.0,42.543,-77.587,1630.3,808.1,300.6,282.8,0.0,42.7,56.4,5.2
1.0,1.0,12.0,8.0,23.0,3.0,0.0,3.0,-8.0,42.482,-77.84,1615.5,804.1,300.9,282.7,0.0,41.0,54.4,5.0
1.0,1.0,12.0,8.0,23.0,2.0,0.0,2.0,-9.0,42.414,-78.088,1605.2,801.2,301.0,282.5,0.5,65.6,55.7,5.0
1.0,1.0,12.0,8.0,23.0,1.0,0.0,1.0,-10.0,42.345,-78.342,1633.0,797.6,301.1,282.2,0.4,84.0,56.9,5.1
1.0,1.0,12.0,8.0,23.0,0.0,0.0,0.0,-11.0,42.28,-78.599,1702.3,790.3,301.4,281.7,0.2,87.0,56.3,4.9
1.0,1.0,12.0,8.0,22.0,23.0,0.0,1.0,-12.0,42.214,-78.852,1779.6,781.6,301.7,281.1,0.1,363.0,57.1,4.8
1.0,1.0,12.0,8.0,22.0,22.0,0.0,2.0,-13.0,42.134,-79.097,1836.6,775.4,301.9,280.7,0.0,598.1,58.7,4.9
1.0,1.0,12.0,8.0,22.0,21.0,0.0,3.0,-14.0,42.037,-79.335,1887.7,771.2,302.1,280.4,0.0,778.3,59.6,4.9
1.0,1.0,12.0,8.0,22.0,20.0,0.0,2.0,-15.0,41.937,-79.556,1952.2,768.7,302.0,280.1,0.0,902.8,58.6,4.7
1.0,1.0,12.0,8.0,22.0,19.0,0.0,1.0,-16.0,41.854,-79.75,2032.3,765.0,301.8,279.5,0.0,1023.5,58.9,4.6
1.0,1.0,12.0,8.0,22.0,18.0,0.0,0.0,-17.0,41.786,-79.914,2125.1,759.3,301.5,278.7,0.0,1090.1,59.3,4.4
1.0,1.0,12.0,8.0,22.0,17.0,0.0,1.0,-18.0,41.728,-80.066,2202.5,753.7,301.6,278.2,0.0,880.9,60.0,4.3
1.0,1.0,12.0,8.0,22.0,16.0,0.0,2.0,-19.0,41.683,-80.222,2236.5,751.8,301.6,278.0,0.0,668.2,61.3,4.3
1.0,1.0,12.0,8.0,22.0,15.0,0.0,3.0,-20.0,41.652,-80.382,2232.1,753.6,301.4,278.0,0.0,439.4,62.6,4.4
1.0,1.0,12.0,8.0,22.0,14.0,0.0,2.0,-21.0,41.634,-80.544,2227.4,755.8,301.1,277.9,0.0,314.8,65.1,4.6
1.0,1.0,12.0,8.0,22.0,13.0,0.0,1.0,-22.0,41.626,-80.704,2254.2,755.1,301.0,277.8,0.0,201.2,67.1,4.7
1.0,1.0,12.0,8.0,22.0,12.0,0.0,0.0,-23.0,41.634,-80.862,2307.8,752.0,301.1,277.5,0.0,100.5,68.6,4.7
1.0,1.0,12.0,8.0,22.0,11.0,0.0,1.0,-24.0,41.648,-81.011,2365.6,747.9,301.5,277.4,0.0,102.9,67.1,4.6
1.0,1.0,12.0,8.0,22.0,10.0,0.0,2.0,-25.0,41.657,-81.151,2407.4,743.8,301.8,277.3,0.0,105.0,65.0,4.4
1.0,1.0,12.0,8.0,22.0,9.0,0.0,3.0,-26.0,41.659,-81.284,2436.3,740.8,302.1,277.2,0.0,109.9,62.9,4.3
