traj_id,traj_num,year,month,day,hour,step,timestep,hour_back,lat,lon,alt,pressure,theta,air_temp,rainfall,mixdepth,relhum,spchumid
1.0,1.0,12.0,8.0,1.0,17.0,0.0,1.0,0.0,42.82,-75.54,1500.0,815.0,302.9,285.7,0.3,734.3,79.4,8.8
1.0,1.0,12.0,8.0,1.0,16.0,0.0,2.0,-1.0,42.787,-75.715,1450.0,820.5,302.6,285.9,0.3,623.8,78.3,8.7
1.0,1.0,12.0,8.0,1.0,15.0,0.0,3.0,-2.0,42.765,-75.884,1405.8,825.7,302.3,286.2,0.2,507.1,77.2,8.7
1.0,1.0,12.0,8.0,1.0,14.0,0.0,2.0,-3.0,42.758,-76.06,1363.4,831.7,302.0,286.5,1.0,405.1,77.9,8.8
1.0,1.0,12.0,8.0,1.0,13.0,0.0,1.0,-4.0,42.773,-76.26,1328.4,837.5,301.6,286.7,0.7,297.4,78.5,9.0
1.0,1.0,12.0,8.0,1.0,12.0,0.0,0.0,-5.0,42.81,-76.487,1312.4,842.1,301.4,286.9,0.4,160.9,79.2,9.1
1.0,1.0,12.0,8.0,1.0,11.0,0.0,1.0,-6.0,42.844,-76.734,1308.2,845.1,301.5,287.3,0.0,151.0,77.6,9.1
1.0,1.0,12.0,8.0,1.0,10.0,0.0,2.0,-7.0,42.855,-76.993,1297.0,848.6,301.7,287.8,0.0,131.5,74.9,9.1
1.0,1.0,12.0,8.0,1.0,9.0,0.0,3.0,-8.0,42.851,-77.274,1265.1,849.0,301.9,288.1,0.0,102.3,72.8,9.0
1.0,1.0,12.0,8.0,1.0,8.0,0.0,2.0,-9.0,42.847,-77.572,1243.0,849.0,302.0,288.2,0.0,102.7,72.7,9.0
1.0,1.0,12.0,8.0,1.0,7.0,0.0,1.0,-10.0,42.841,-77.865,1256.8,845.4,302.2,288.0,0.0,97.7,72.0,8.9
1.0,1.0,12.0,8.0,1.0,6.0,0.0,0.0,-11.0,42.823,-78.138,1297.0,840.9,302.5,287.9,0.0,95.4,71.0,8.8
1.0,1.0,12.0,8.0,1.0,5.0,0.0,1.0,-12.0,42.808,-78.39,1340.9,837.7,302.6,287.6,0.1,106.1,71.7,8.7
1.0,1.0,12.0,8.0,1.0,4.0,0.0,2.0,-13.0,42.818,-78.624,1372.8,836.4,302.5,287.5,0.2,105.4,72.6,8.7
1.0,1.0,12.0,8.0,1.0,3.0,0.0,3.0,-14.0,42.856,-78.835,1398.9,836.6,302.4,287.3,0.2,94.5,73.7,8.8
1.0,1.0,12.0,8.0,1.0,2.0,0.0,2.0,-15.0,42.913,-79.057,1400.1,839.7,302.6,287.9,0.2,99.4,72.9,9.0
1.0,1.0,12.0,8.0,1.0,1.0,0.0,1.0,-16.0,42.977,-79.326,1343.2,847.1,302.9,288.8,0.0,90.2,71.2,9.2
1.0,1.0,12.0,8.0,1.0,0.0,0.0,0.0,-17.0,43.046,-79.634,1231.7,857.4,303.1,290.1,0.0,67.5,69.8,9.7
