traj_id,traj_num,year,month,day,hour,step,timestep,hour_back,lat,lon,alt,pressure,theta,air_temp,rainfall,mixdepth,relhum,spchumid
1.0,1.0,12.0,8.0,1.0,11.0,0.0,1.0,0.0,42.82,-75.54,1000.0,864.5,300.7,288.5,0.1,132.1,79.3,9.9
1.0,1.0,12.0,8.0,1.0,10.0,0.0,2.0,-1.0,42.843,-75.774,940.9,872.1,300.8,289.2,0.1,109.3,78.4,10.1
1.0,1.0,12.0,8.0,1.0,9.0,0.0,3.0,-2.0,42.857,-76.005,862.9,881.4,300.8,290.2,0.2,102.3,77.3,10.5
1.0,1.0,12.0,8.0,1.0,8.0,0.0,2.0,-3.0,42.863,-76.254,780.5,893.4,300.7,291.1,2.9,109.1,74.6,10.6
1.0,1.0,12.0,8.0,1.0,7.0,0.0,1.0,-4.0,42.857,-76.541,718.9,903.4,300.7,292.1,1.8,115.0,71.9,10.8
1.0,1.0,12.0,8.0,1.0,6.0,0.0,0.0,-5.0,42.836,-76.863,694.4,909.5,300.9,292.8,0.5,119.2,69.8,10.9
1.0,1.0,12.0,8.0,1.0,5.0,0.0,1.0,-6.0,42.79,-77.196,702.8,906.9,301.1,292.8,0.0,136.3,69.5,10.8
1.0,1.0,12.0,8.0,1.0,4.0,0.0,2.0,-7.0,42.718,-77.519,724.4,899.2,301.4,292.4,0.0,146.7,69.2,10.6
1.0,1.0,12.0,8.0,1.0,3.0,0.0,3.0,-8.0,42.631,-77.827,752.4,889.9,301.8,291.8,0.1,154.4,68.8,10.3
1.0,1.0,12.0,8.0,1.0,2.0,0.0,2.0,-9.0,42.544,-78.108,779.4,882.7,301.9,291.3,1.3,168.7,70.9,10.4
1.0,1.0,12.0,8.0,1.0,1.0,0.0,1.0,-10.0,42.46,-78.36,791.1,880.1,302.1,291.2,1.0,188.2,72.7,10.6
1.0,1.0,12.0,8.0,1.0,0.0,0.0,0.0,-11.0,42.374,-78.588,780.0,879.5,302.3,291.4,0.7,208.5,73.6,10.9
