traj_id,traj_num,year,month,day,hour,step,timestep,hour_back,lat,lon,alt,pressure,theta,air_temp,rainfall,mixdepth,relhum,spchumid
1.0,1.0,12.0,8.0,25.0,23.0,0.0,1.0,0.0,42.82,-75.54,500.0,928.4,301.7,295.3,0.0,718.8,53.0,9.4
1.0,1.0,12.0,8.0,25.0,22.0,0.0,2.0,-1.0,42.662,-75.436,536.8,920.8,301.8,294.7,0.0,1281.0,53.9,9.3
1.0,1.0,12.0,8.0,25.0,21.0,0.0,3.0,-2.0,42.514,-75.331,554.5,915.1,302.0,294.5,0.0,1799.1,53.1,9.1
1.0,1.0,12.0,8.0,25.0,20.0,0.0,2.0,-3.0,42.372,-75.23,551.7,912.1,301.9,294.0,0.0,1745.4,53.6,9.0
1.0,1.0,12.0,8.0,25.0,19.0,0.0,1.0,-4.0,42.234,-75.131,530.2,910.8,301.8,293.8,0.0,1763.5,53.0,8.8
1.0,1.0,12.0,8.0,25.0,18.0,0.0,0.0,-5.0,42.104,-75.034,491.6,911.1,301.9,293.9,0.0,1859.6,51.1,8.5
1.0,1.0,12.0,8.0,25.0,17.0,0.0,1.0,-6.0,41.978,-74.942,447.8,915.7,301.1,293.6,0.0,1655.4,54.3,8.8
1.0,1.0,12.0,8.0,25.0,16.0,0.0,2.0,-7.0,41.856,-74.85,409.4,926.5,300.1,293.6,0.0,1401.5,58.0,9.3
1.0,1.0,12.0,8.0,25.0,15.0,0.0,3.0,-8.0,41.743,-74.755,374.9,936.5,299.2,293.6,0.0,1161.7,61.2,9.7
1.0,1.0,12.0,8.0,25.0,14.0,0.0,2.0,-9.0,41.644,-74.658,343.8,945.6,298.6,293.8,0.0,782.4,62.5,9.9
1.0,1.0,12.0,8.0,25.0,13.0,0.0,1.0,-10.0,41.57,-74.567,318.9,953.0,297.9,293.8,0.0,417.4,64.4,10.2
1.0,1.0,12.0,8.0,25.0,12.0,0.0,0.0,-11.0,41.518,-74.487,302.0,958.4,297.2,293.6,0.0,62.1,67.1,10.4
1.0,1.0,12.0,8.0,25.0,11.0,0.0,1.0,-12.0,41.48,-74.415,289.7,962.1,297.2,293.9,0.0,51.0,66.6,10.5
1.0,1.0,12.0,8.0,25.0,10.0,0.0,2.0,-13.0,41.45,-74.347,276.8,965.5,297.2,294.2,0.0,37.9,65.9,10.6
