traj_id,traj_num,year,month,day,hour,step,timestep,hour_back,lat,lon,alt,pressure,theta,air_temp,rainfall,mixdepth,relhum,spchumid
1.0,1.0,12.0,8.0,1.0,17.0,0.0,1.0,0.0,42.82,-75.54,1000.0,864.7,301.0,288.7,0.3,734.3,82.8,10.5
1.0,1.0,12.0,8.0,1.0,16.0,0.0,2.0,-1.0,42.802,-75.686,956.6,869.8,300.6,288.9,0.3,621.7,79.7,10.1
1.0,1.0,12.0,8.0,1.0,15.0,0.0,3.0,-2.0,42.8,-75.827,920.1,874.3,300.2,288.9,0.3,506.5,77.0,9.7
1.0,1.0,12.0,8.0,1.0,14.0,0.0,2.0,-3.0,42.816,-75.978,881.7,880.0,300.0,289.3,1.1,401.5,77.6,10.0
1.0,1.0,12.0,8.0,1.0,13.0,0.0,1.0,-4.0,42.855,-76.157,838.6,887.2,299.8,289.7,0.9,291.0,78.4,10.3
1.0,1.0,12.0,8.0,1.0,12.0,0.0,0.0,-5.0,42.914,-76.362,801.1,894.7,299.5,290.1,0.7,156.8,78.6,10.5
1.0,1.0,12.0,8.0,1.0,11.0,0.0,1.0,-6.0,42.974,-76.585,771.5,901.0,299.6,290.8,0.1,148.8,77.5,10.7
1.0,1.0,12.0,8.0,1.0,10.0,0.0,2.0,-7.0,43.019,-76.823,746.3,906.8,299.7,291.5,0.0,130.6,75.5,10.8
1.0,1.0,12.0,8.0,1.0,9.0,0.0,3.0,-8.0,43.057,-77.082,721.5,910.8,300.0,292.1,0.0,102.6,72.7,10.8
1.0,1.0,12.0,8.0,1.0,8.0,0.0,2.0,-9.0,43.086,-77.361,702.3,911.7,300.1,292.2,0.0,106.0,72.4,10.8
1.0,1.0,12.0,8.0,1.0,7.0,0.0,1.0,-10.0,43.101,-77.649,696.5,911.0,300.3,292.4,0.0,102.0,71.3,10.8
1.0,1.0,12.0,8.0,1.0,6.0,0.0,0.0,-11.0,43.102,-77.931,700.6,909.2,300.6,292.5,0.1,90.7,69.6,10.7
1.0,1.0,12.0,8.0,1.0,5.0,0.0,1.0,-12.0,43.089,-78.193,707.4,908.9,300.8,292.7,0.1,99.7,68.2,10.5
1.0,1.0,12.0,8.0,1.0,4.0,0.0,2.0,-13.0,43.069,-78.425,712.3,909.6,300.9,292.8,0.1,103.4,67.0,10.4
1.0,1.0,12.0,8.0,1.0,3.0,0.0,3.0,-14.0,43.051,-78.629,721.3,909.9,301.0,293.0,0.2,98.4,66.1,10.4
1.0,1.0,12.0,8.0,1.0,2.0,0.0,2.0,-15.0,43.037,-78.807,719.6,911.3,301.1,293.2,0.6,103.5,66.2,10.6
1.0,1.0,12.0,8.0,1.0,1.0,0.0,1.0,-16.0,43.017,-78.966,685.1,916.1,301.4,293.9,0.2,113.3,65.5,10.9
1.0,1.0,12.0,8.0,1.0,0.0,0.0,0.0,-17.0,42.981,-79.103,614.7,922.9,301.6,294.8,0.1,118.4,65.9,11.4
