traj_id,traj_num,year,month,day,hour,step,timestep,hour_back,lat,lon,alt,pressure,theta,air_temp,rainfall,mixdepth,relhum,spchumid
1.0,1.0,12.0,8.0,5.0,11.0,0.0,1.0,0.0,42.82,-75.54,500.0,922.2,301.8,294.9,0.3,636.3,77.6,13.6
1.0,1.0,12.0,8.0,5.0,10.0,0.0,2.0,-1.0,42.277,-75.934,577.9,911.7,302.6,294.7,0.0,610.8,75.0,13.1
1.0,1.0,12.0,8.0,5.0,9.0,0.0,3.0,-2.0,41.732,-76.33,609.5,907.0,303.0,294.6,0.0,508.2,72.6,12.7
1.0,1.0,12.0,8.0,5.0,8.0,0.0,2.0,-3.0,41.214,-76.695,614.0,914.1,303.0,295.3,0.1,408.5,70.2,12.7
1.0,1.0,12.0,8.0,5.0,7.0,0.0,1.0,-4.0,40.725,-77.038,623.4,921.9,303.3,296.3,0.1,372.2,66.7,12.7
1.0,1.0,12.0,8.0,5.0,6.0,0.0,0.0,-5.0,40.256,-77.398,641.2,918.8,303.8,296.5,0.3,322.9,64.2,12.5
1.0,1.0,12.0,8.0,5.0,5.0,0.0,1.0,-6.0,39.821,-77.74,632.9,919.7,304.1,296.9,0.0,268.1,62.2,12.3
1.0,1.0,12.0,8.0,5.0,4.0,0.0,2.0,-7.0,39.421,-78.01,610.9,922.1,304.4,297.4,0.0,184.8,61.8,12.6
1.0,1.0,12.0,8.0,5.0,3.0,0.0,3.0,-8.0,39.048,-78.221,625.7,917.2,304.4,297.0,0.0,156.2,63.3,12.6
1.0,1.0,12.0,8.0,5.0,2.0,0.0,2.0,-9.0,38.707,-78.399,671.4,910.4,304.6,296.5,0.6,205.2,64.3,12.6
1.0,1.0,12.0,8.0,5.0,1.0,0.0,1.0,-10.0,38.407,-78.553,700.8,905.1,304.8,296.2,0.2,235.2,65.4,12.6
1.0,1.0,12.0,8.0,5.0,0.0,0.0,0.0,-11.0,38.148,-78.679,694.6,903.5,304.9,296.2,0.1,207.3,65.2,12.6
1.0,1.0,12.0,8.0,4.0,23.0,0.0,1.0,-12.0,37.912,-78.778,658.9,906.4,305.1,296.7,0.0,713.6,63.2,12.5
1.0,1.0,12.0,8.0,4.0,22.0,0.0,2.0,-13.0,37.678,-78.849,608.2,915.2,305.4,297.7,0.0,1303.7,60.3,12.6
1.0,1.0,12.0,8.0,4.0,21.0,0.0,3.0,-14.0,37.442,-78.887,551.4,926.7,305.6,299.0,0.0,1953.5,56.6,12.6
1.0,1.0,12.0,8.0,4.0,20.0,0.0,2.0,-15.0,37.218,-78.911,502.0,939.2,305.1,299.7,0.3,1964.9,55.3,12.7
1.0,1.0,12.0,8.0,4.0,19.0,0.0,1.0,-16.0,37.021,-78.94,469.7,949.4,304.6,300.2,0.3,1963.5,54.4,12.7
1.0,1.0,12.0,8.0,4.0,18.0,0.0,0.0,-17.0,36.855,-78.973,451.9,953.2,304.0,299.9,0.3,1860.4,55.8,12.8
1.0,1.0,12.0,8.0,4.0,17.0,0.0,1.0,-18.0,36.707,-78.995,441.4,954.5,302.7,298.7,0.2,1472.2,65.3,13.9
1.0,1.0,12.0,8.0,4.0,16.0,0.0,2.0,-19.0,36.562,-78.996,430.8,955.9,301.4,297.5,0.2,1092.9,74.5,14.7
1.0,1.0,12.0,8.0,4.0,15.0,0.0,3.0,-20.0,36.419,-78.982,422.1,957.3,300.1,296.4,0.2,726.4,83.3,15.4
1.0,1.0,12.0,8.0,4.0,14.0,0.0,2.0,-21.0,36.284,-78.974,415.0,958.6,299.8,296.2,0.0,519.4,82.3,15.0
1.0,1.0,12.0,8.0,4.0,13.0,0.0,1.0,-22.0,36.163,-78.987,406.9,959.7,299.5,296.0,0.0,318.7,81.4,14.6
1.0,1.0,12.0,8.0,4.0,12.0,0.0,0.0,-23.0,36.056,-79.016,396.0,960.9,299.1,295.7,0.0,124.1,81.0,14.2
1.0,1.0,12.0,8.0,4.0,11.0,0.0,1.0,-24.0,35.946,-79.067,385.6,961.2,299.2,295.9,0.0,114.5,80.3,14.3
1.0,1.0,12.0,8.0,4.0,10.0,0.0,2.0,-25.0,35.818,-79.146,379.3,961.1,299.5,296.1,0.0,104.6,79.6,14.3
1.0,1.0,12.0,8.0,4.0,9.0,0.0,3.0,-26.0,35.674,-79.252,376.7,960.8,299.7,296.3,0.0,90.5,78.4,14.3
1.0,1.0,12.0,8.0,4.0,8.0,0.0,2.0,-27.0,35.503,-79.368,374.2,961.8,299.9,296.6,0.3,110.4,77.2,14.3
1.0,1.0,12.0,8.0,4.0,7.0,0.0,1.0,-28.0,35.297,-79.478,368.9,964.0,300.0,296.9,0.2,127.5,75.2,14.2
1.0,1.0,12.0,8.0,4.0,6.0,0.0,0.0,-29.0,35.059,-79.583,361.4,967.4,300.1,297.2,0.2,143.3,72.8,14.0
1.0,1.0,12.0,8.0,4.0,5.0,0.0,1.0,-30.0,34.804,-79.662,351.3,970.2,300.3,297.7,0.2,153.2,73.5,14.4
1.0,1.0,12.0,8.0,4.0,4.0,0.0,2.0,-31.0,34.54,-79.701,339.6,973.1,300.4,298.1,0.1,163.1,73.6,14.8
1.0,1.0,12.0,8.0,4.0,3.0,0.0,3.0,-32.0,34.27,-79.708,329.4,976.0,300.5,298.4,0.1,174.5,72.8,14.9
1.0,1.0,12.0,8.0,4.0,2.0,0.0,2.0,-33.0,34.004,-79.68,320.2,978.8,300.7,298.9,0.1,211.4,71.4,15.0
