traj_id,traj_num,year,month,day,hour,step,timestep,hour_back,lat,lon,alt,pressure,theta,air_temp,rainfall,mixdepth,relhum,spchumid
1.0,1.0,12.0,8.0,15.0,17.0,0.0,1.0,0.0,42.82,-75.54,500.0,918.0,297.4,290.2,0.0,1033.6,80.0,10.4
1.0,1.0,12.0,8.0,15.0,16.0,0.0,2.0,-1.0,42.91,-75.671,434.6,927.2,296.6,290.3,0.0,926.4,82.1,10.7
1.0,1.0,12.0,8.0,15.0,15.0,0.0,3.0,-2.0,43.0,-75.793,353.7,937.9,295.9,290.6,0.0,830.1,83.2,10.9
1.0,1.0,12.0,8.0,15.0,14.0,0.0,2.0,-3.0,43.089,-75.894,267.1,949.0,295.1,290.7,0.3,574.5,84.3,11.0
1.0,1.0,12.0,8.0,15.0,13.0,0.0,1.0,-4.0,43.17,-75.971,191.1,959.1,294.2,290.7,0.3,339.3,87.6,11.3
1.0,1.0,12.0,8.0,15.0,12.0,0.0,0.0,-5.0,43.239,-76.024,133.8,967.0,293.1,290.3,0.2,123.0,92.5,11.5
1.0,1.0,12.0,8.0,15.0,11.0,0.0,1.0,-6.0,43.298,-76.062,85.6,973.4,292.7,290.5,0.1,103.8,92.7,11.6
1.0,1.0,12.0,8.0,15.0,10.0,0.0,2.0,-7.0,43.349,-76.093,42.3,979.2,291.7,289.9,0.1,84.4,92.4,11.2
1.0,1.0,12.0,8.0,15.0,9.0,0.0,3.0,-8.0,43.393,-76.118,10.3,983.9,289.4,288.0,0.1,65.0,91.7,9.7
1.0,1.0,12.0,8.0,15.0,8.0,0.0,2.0,-9.0,43.434,-76.141,0.0,984.4,289.7,288.4,0.4,75.3,90.4,9.9
1.0,1.0,12.0,8.0,15.0,7.0,0.0,1.0,-10.0,43.474,-76.168,0.0,984.9,290.1,288.9,0.4,89.7,89.1,10.0
1.0,1.0,12.0,8.0,15.0,6.0,0.0,0.0,-11.0,43.516,-76.198,0.0,985.6,290.6,289.4,0.4,108.0,87.7,10.1
1.0,1.0,12.0,8.0,15.0,5.0,0.0,1.0,-12.0,43.555,-76.239,0.0,987.1,290.9,289.9,0.2,106.0,86.7,10.3
1.0,1.0,12.0,8.0,15.0,4.0,0.0,2.0,-13.0,43.584,-76.298,0.0,988.7,291.3,290.4,0.2,103.2,85.7,10.5
1.0,1.0,12.0,8.0,15.0,3.0,0.0,3.0,-14.0,43.603,-76.372,0.0,990.2,291.7,290.9,0.2,99.1,84.8,10.7
