traj_id,traj_num,year,month,day,hour,step,timestep,hour_back,lat,lon,alt,pressure,theta,air_temp,rainfall,mixdepth,relhum,spchumid
1.0,1.0,12.0,8.0,3.0,17.0,0.0,1.0,0.0,42.82,-75.54,500.0,922.4,303.4,296.5,0.0,1241.8,53.0,10.2
1.0,1.0,12.0,8.0,3.0,16.0,0.0,2.0,-1.0,42.809,-75.725,522.5,920.9,302.6,295.5,0.0,942.4,56.2,10.2
1.0,1.0,12.0,8.0,3.0,15.0,0.0,3.0,-2.0,42.788,-75.89,550.7,918.4,301.8,294.6,0.0,640.6,58.9,10.1
1.0,1.0,12.0,8.0,3.0,14.0,0.0,2.0,-3.0,42.773,-76.065,569.8,917.9,301.9,294.6,0.0,440.4,56.9,9.8
1.0,1.0,12.0,8.0,3.0,13.0,0.0,1.0,-4.0,42.781,-76.269,562.3,920.9,301.9,294.8,0.0,284.2,54.4,9.5
1.0,1.0,12.0,8.0,3.0,12.0,0.0,0.0,-5.0,42.814,-76.5,533.5,926.8,301.8,295.3,0.0,127.0,51.0,9.1
1.0,1.0,12.0,8.0,3.0,11.0,0.0,1.0,-6.0,42.857,-76.753,495.5,933.6,301.9,296.0,0.0,96.3,47.4,8.7
1.0,1.0,12.0,8.0,3.0,10.0,0.0,2.0,-7.0,42.891,-77.034,459.5,939.9,302.2,296.9,0.0,86.7,41.4,8.0
1.0,1.0,12.0,8.0,3.0,9.0,0.0,3.0,-8.0,42.913,-77.357,435.6,939.5,302.6,297.2,0.0,93.0,37.1,7.3
1.0,1.0,12.0,8.0,3.0,8.0,0.0,2.0,-9.0,42.918,-77.706,439.2,936.7,302.8,297.2,0.0,104.5,37.8,7.5
1.0,1.0,12.0,8.0,3.0,7.0,0.0,1.0,-10.0,42.903,-78.055,470.7,930.9,303.2,297.0,0.0,109.9,38.0,7.5
1.0,1.0,12.0,8.0,3.0,6.0,0.0,0.0,-11.0,42.863,-78.394,501.9,928.6,303.5,297.1,0.0,122.7,37.0,7.3
1.0,1.0,12.0,8.0,3.0,5.0,0.0,1.0,-12.0,42.809,-78.715,505.8,927.9,303.3,296.8,0.0,124.2,37.4,7.3
1.0,1.0,12.0,8.0,3.0,4.0,0.0,2.0,-13.0,42.751,-79.013,483.0,929.6,303.0,296.7,0.0,116.9,38.7,7.5
1.0,1.0,12.0,8.0,3.0,3.0,0.0,3.0,-14.0,42.678,-79.29,455.6,930.3,302.9,296.7,0.0,109.9,40.4,7.8
1.0,1.0,12.0,8.0,3.0,2.0,0.0,2.0,-15.0,42.587,-79.561,450.1,929.6,303.0,296.8,0.0,127.9,40.7,7.9
1.0,1.0,12.0,8.0,3.0,1.0,0.0,1.0,-16.0,42.489,-79.817,477.6,926.4,303.3,296.8,0.0,127.0,39.7,7.7
1.0,1.0,12.0,8.0,3.0,0.0,0.0,0.0,-17.0,42.399,-80.043,542.9,919.9,303.7,296.6,0.0,116.3,38.2,7.4
1.0,1.0,12.0,8.0,2.0,23.0,0.0,1.0,-18.0,42.327,-80.254,631.6,910.9,303.8,295.8,0.1,209.2,40.7,7.6
1.0,1.0,12.0,8.0,2.0,22.0,0.0,2.0,-19.0,42.274,-80.469,730.7,902.0,303.8,295.0,0.2,276.8,40.7,7.3
1.0,1.0,12.0,8.0,2.0,21.0,0.0,3.0,-20.0,42.238,-80.694,853.3,891.2,303.9,294.1,0.3,314.8,37.7,6.5
1.0,1.0,12.0,8.0,2.0,20.0,0.0,2.0,-21.0,42.218,-80.923,981.4,880.9,304.2,293.3,0.0,301.5,36.1,6.0
1.0,1.0,12.0,8.0,2.0,19.0,0.0,1.0,-22.0,42.222,-81.147,1077.2,872.8,304.6,293.0,0.0,307.3,33.7,5.5
1.0,1.0,12.0,8.0,2.0,18.0,0.0,0.0,-23.0,42.246,-81.368,1139.5,867.5,305.2,293.1,0.0,358.9,30.0,5.0
1.0,1.0,12.0,8.0,2.0,17.0,0.0,1.0,-24.0,42.281,-81.586,1182.2,863.7,305.3,292.7,0.0,363.8,32.0,5.2
1.0,1.0,12.0,8.0,2.0,16.0,0.0,2.0,-25.0,42.319,-81.804,1215.0,861.0,305.3,292.5,0.0,339.9,32.1,5.2
1.0,1.0,12.0,8.0,2.0,15.0,0.0,3.0,-26.0,42.359,-82.025,1244.8,858.4,305.4,292.3,0.0,288.0,29.6,4.7
1.0,1.0,12.0,8.0,2.0,14.0,0.0,2.0,-27.0,42.41,-82.244,1275.6,854.4,305.5,292.0,0.0,233.5,31.5,5.0
1.0,1.0,12.0,8.0,2.0,13.0,0.0,1.0,-28.0,42.477,-82.455,1314.6,849.4,305.6,291.6,0.0,170.6,31.5,4.9
1.0,1.0,12.0,8.0,2.0,12.0,0.0,0.0,-29.0,42.55,-82.66,1370.5,842.7,305.9,291.2,0.0,100.1,29.0,4.4
1.0,1.0,12.0,8.0,2.0,11.0,0.0,1.0,-30.0,42.619,-82.85,1415.5,836.4,306.1,290.9,0.0,95.6,31.5,4.7
1.0,1.0,12.0,8.0,2.0,10.0,0.0,2.0,-31.0,42.668,-83.013,1412.9,835.2,306.1,290.7,0.0,88.8,34.5,5.1
1.0,1.0,12.0,8.0,2.0,9.0,0.0,3.0,-32.0,42.693,-83.149,1362.3,839.6,305.7,290.7,0.0,82.9,38.1,5.6
1.0,1.0,12.0,8.0,2.0,8.0,0.0,2.0,-33.0,42.715,-83.258,1308.8,845.2,305.7,291.3,0.0,83.8,37.2,5.7
1.0,1.0,12.0,8.0,2.0,7.0,0.0,1.0,-34.0,42.76,-83.339,1286.5,847.7,305.9,291.8,0.0,85.8,35.9,5.6
1.0,1.0,12.0,8.0,2.0,6.0,0.0,0.0,-35.0,42.829,-83.384,1293.4,847.2,306.3,292.1,0.0,89.4,34.5,5.5
1.0,1.0,12.0,8.0,2.0,5.0,0.0,1.0,-36.0,42.92,-83.406,1311.6,845.0,306.3,291.9,0.0,66.0,34.2,5.4
1.0,1.0,12.0,8.0,2.0,4.0,0.0,2.0,-37.0,43.026,-83.428,1317.5,844.2,306.1,291.6,0.0,40.2,34.4,5.3
