traj_id,traj_num,year,month,day,hour,step,timestep,hour_back,lat,lon,alt,pressure,theta,air_temp,rainfall,mixdepth,relhum,spchumid
1.0,1.0,12.0,8.0,21.0,23.0,0.0,1.0,0.0,42.82,-75.54,1000.0,869.2,297.9,286.2,0.0,516.8,48.1,5.1
1.0,1.0,12.0,8.0,21.0,22.0,0.0,2.0,-1.0,42.843,-75.682,1059.5,864.3,297.5,285.3,0.0,828.9,52.8,5.4
1.0,1.0,12.0,8.0,21.0,21.0,0.0,3.0,-2.0,42.864,-75.806,1145.9,856.3,297.0,284.1,0.0,1092.9,55.9,5.3
1.0,1.0,12.0,8.0,21.0,20.0,0.0,2.0,-3.0,42.885,-75.93,1234.5,848.8,296.8,283.2,0.0,1200.8,56.6,5.1
1.0,1.0,12.0,8.0,21.0,19.0,0.0,1.0,-4.0,42.916,-76.061,1291.9,844.8,296.4,282.4,0.0,1365.9,58.7,5.0
1.0,1.0,12.0,8.0,21.0,18.0,0.0,0.0,-5.0,42.958,-76.191,1322.1,844.0,296.0,282.0,0.0,1581.7,61.7,5.1
1.0,1.0,12.0,8.0,21.0,17.0,0.0,1.0,-6.0,43.005,-76.328,1336.7,844.3,295.8,281.8,0.0,1348.0,60.0,4.9
1.0,1.0,12.0,8.0,21.0,16.0,0.0,2.0,-7.0,43.053,-76.485,1346.9,845.2,295.5,281.6,0.0,1089.4,58.5,4.7
1.0,1.0,12.0,8.0,21.0,15.0,0.0,3.0,-8.0,43.104,-76.663,1355.9,846.4,295.2,281.5,0.0,811.7,56.4,4.5
1.0,1.0,12.0,8.0,21.0,14.0,0.0,2.0,-9.0,43.163,-76.859,1379.5,846.8,295.1,281.4,0.0,543.8,57.7,4.6
1.0,1.0,12.0,8.0,21.0,13.0,0.0,1.0,-10.0,43.236,-77.074,1431.6,843.1,295.0,281.0,0.0,316.4,59.4,4.6
1.0,1.0,12.0,8.0,21.0,12.0,0.0,0.0,-11.0,43.32,-77.305,1499.5,835.4,295.1,280.3,0.0,101.4,60.4,4.5
1.0,1.0,12.0,8.0,21.0,11.0,0.0,1.0,-12.0,43.402,-77.559,1556.0,828.4,295.4,279.9,0.0,93.2,59.9,4.4
1.0,1.0,12.0,8.0,21.0,10.0,0.0,2.0,-13.0,43.469,-77.843,1581.6,824.4,295.6,279.7,0.0,78.9,59.6,4.3
1.0,1.0,12.0,8.0,21.0,9.0,0.0,3.0,-14.0,43.528,-78.155,1581.2,823.3,295.6,279.6,0.0,70.7,60.2,4.4
1.0,1.0,12.0,8.0,21.0,8.0,0.0,2.0,-15.0,43.585,-78.473,1578.6,823.2,295.6,279.6,0.0,85.7,62.4,4.5
1.0,1.0,12.0,8.0,21.0,7.0,0.0,1.0,-16.0,43.647,-78.775,1596.8,820.4,295.7,279.4,0.0,97.9,62.7,4.5
1.0,1.0,12.0,8.0,21.0,6.0,0.0,0.0,-17.0,43.721,-79.059,1640.1,814.3,296.0,279.1,0.0,103.1,61.8,4.4
1.0,1.0,12.0,8.0,21.0,5.0,0.0,1.0,-18.0,43.814,-79.342,1692.9,804.9,296.5,278.6,0.0,86.1,63.4,4.4
1.0,1.0,12.0,8.0,21.0,4.0,0.0,2.0,-19.0,43.936,-79.638,1736.7,795.4,296.9,278.0,0.0,65.2,65.9,4.4
1.0,1.0,12.0,8.0,21.0,3.0,0.0,3.0,-20.0,44.106,-79.944,1764.3,789.1,297.1,277.6,0.0,76.2,69.2,4.6
1.0,1.0,12.0,8.0,21.0,2.0,0.0,2.0,-21.0,44.289,-80.272,1778.3,789.9,297.1,277.7,0.0,202.6,67.3,4.5
1.0,1.0,12.0,8.0,21.0,1.0,0.0,1.0,-22.0,44.456,-80.625,1801.2,790.2,297.2,277.8,0.0,339.2,65.5,4.4
1.0,1.0,12.0,8.0,21.0,0.0,0.0,0.0,-23.0,44.624,-80.999,1854.5,787.6,297.4,277.8,0.0,493.3,65.0,4.3
1.0,1.0,12.0,8.0,20.0,23.0,0.0,1.0,-24.0,44.785,-81.398,1935.2,784.5,297.2,277.2,0.0,614.2,68.6,4.4
1.0,1.0,12.0,8.0,20.0,22.0,0.0,2.0,-25.0,44.928,-81.817,2034.2,777.8,297.3,276.6,0.0,536.9,71.9,4.5
1.0,1.0,12.0,8.0,20.0,21.0,0.0,3.0,-26.0,45.055,-82.247,2154.8,766.3,297.6,275.8,0.0,515.0,76.8,4.6
1.0,1.0,12.0,8.0,20.0,20.0,0.0,2.0,-27.0,45.169,-82.677,2271.2,755.3,297.4,274.5,0.0,598.6,82.0,4.5
1.0,1.0,12.0,8.0,20.0,19.0,0.0,1.0,-28.0,45.291,-83.102,2350.1,747.6,297.4,273.6,0.0,747.0,84.5,4.4
1.0,1.0,12.0,8.0,20.0,18.0,0.0,0.0,-29.0,45.422,-83.507,2347.5,744.9,297.2,273.2,0.0,1069.2,86.5,4.4
1.0,1.0,12.0,8.0,20.0,17.0,0.0,1.0,-30.0,45.556,-83.887,2279.7,748.7,296.8,273.2,0.0,1089.4,85.9,4.4
1.0,1.0,12.0,8.0,20.0,16.0,0.0,2.0,-31.0,45.702,-84.262,2213.5,754.1,296.4,273.4,0.1,918.4,86.3,4.4
1.0,1.0,12.0,8.0,20.0,15.0,0.0,3.0,-32.0,45.856,-84.643,2161.1,758.9,296.2,273.8,0.2,725.4,88.2,4.6
1.0,1.0,12.0,8.0,20.0,14.0,0.0,2.0,-33.0,46.011,-85.038,2121.7,763.2,295.9,273.9,0.0,486.9,90.3,4.7
1.0,1.0,12.0,8.0,20.0,13.0,0.0,1.0,-34.0,46.174,-85.447,2123.0,764.9,295.4,273.6,0.0,377.4,90.4,4.6
1.0,1.0,12.0,8.0,20.0,12.0,0.0,0.0,-35.0,46.343,-85.859,2149.0,764.4,295.2,273.4,0.0,407.5,90.4,4.6
1.0,1.0,12.0,8.0,20.0,11.0,0.0,1.0,-36.0,46.51,-86.253,2146.7,764.2,295.2,273.4,0.1,430.7,87.4,4.4
1.0,1.0,12.0,8.0,20.0,10.0,0.0,2.0,-37.0,46.672,-86.618,2094.9,768.2,295.2,273.7,0.0,411.3,83.3,4.3
1.0,1.0,12.0,8.0,20.0,9.0,0.0,3.0,-38.0,46.82,-86.971,2003.0,776.4,295.1,274.5,0.0,394.8,77.5,4.2
1.0,1.0,12.0,8.0,20.0,8.0,0.0,2.0,-39.0,46.959,-87.309,1926.5,783.7,294.7,274.8,0.0,377.3,80.8,4.4
1.0,1.0,12.0,8.0,20.0,7.0,0.0,1.0,-40.0,47.104,-87.624,1910.1,785.2,294.5,274.8,0.0,327.5,84.8,4.6
