traj_id,traj_num,year,month,day,hour,step,timestep,hour_back,lat,lon,alt,pressure,theta,air_temp,rainfall,mixdepth,relhum,spchumid
1.0,1.0,12.0,8.0,9.0,11.0,0.0,1.0,0.0,42.82,-75.54,500.0,918.8,302.5,295.2,0.0,48.9,54.2,9.7
1.0,1.0,12.0,8.0,9.0,10.0,0.0,2.0,-1.0,42.738,-75.618,490.7,919.2,302.3,295.1,0.0,38.6,56.7,10.1
1.0,1.0,12.0,8.0,9.0,9.0,0.0,3.0,-2.0,42.665,-75.682,493.3,918.4,302.2,294.9,0.0,22.7,58.7,10.3
1.0,1.0,12.0,8.0,9.0,8.0,0.0,2.0,-3.0,42.615,-75.747,492.0,919.0,302.3,295.1,0.3,35.6,58.8,10.4
1.0,1.0,12.0,8.0,9.0,7.0,0.0,1.0,-4.0,42.603,-75.825,469.9,922.3,302.4,295.5,0.3,49.8,59.2,10.7
1.0,1.0,12.0,8.0,9.0,6.0,0.0,0.0,-5.0,42.635,-75.91,422.1,929.0,302.3,296.0,0.4,69.6,60.2,11.1
1.0,1.0,12.0,8.0,9.0,5.0,0.0,1.0,-6.0,42.692,-75.995,352.3,937.8,301.9,296.4,0.1,73.3,58.9,11.1
1.0,1.0,12.0,8.0,9.0,4.0,0.0,2.0,-7.0,42.749,-76.083,273.2,947.5,301.7,297.1,0.1,67.0,56.5,11.0
1.0,1.0,12.0,8.0,9.0,3.0,0.0,3.0,-8.0,42.805,-76.182,190.2,958.0,301.0,297.3,0.1,55.9,56.6,11.0
1.0,1.0,12.0,8.0,9.0,2.0,0.0,2.0,-9.0,42.855,-76.268,118.1,967.8,300.4,297.6,0.0,57.7,56.6,11.1
1.0,1.0,12.0,8.0,9.0,1.0,0.0,1.0,-10.0,42.898,-76.325,61.7,975.3,299.3,297.2,0.0,63.6,56.6,10.8
1.0,1.0,12.0,8.0,9.0,0.0,0.0,0.0,-11.0,42.931,-76.354,30.8,979.6,297.6,295.9,0.0,71.6,56.4,9.8
1.0,1.0,12.0,8.0,8.0,23.0,0.0,1.0,-12.0,42.964,-76.383,11.5,982.3,298.3,296.8,0.0,388.7,54.7,10.1
1.0,1.0,12.0,8.0,8.0,22.0,0.0,2.0,-13.0,43.003,-76.433,0.0,983.4,300.6,299.2,0.0,679.1,52.5,11.2
1.0,1.0,12.0,8.0,8.0,21.0,0.0,3.0,-14.0,43.048,-76.509,0.0,984.5,303.0,301.6,0.0,955.0,50.5,12.4
1.0,1.0,12.0,8.0,8.0,20.0,0.0,2.0,-15.0,43.085,-76.592,0.0,986.6,303.3,302.1,0.0,1023.6,48.6,12.3
